Date,Open,High,Low,Close,Adj Close,Volume
2009-01-13,553.989990,554.340027,542.950012,550.119995,550.119995,266120600
2009-01-14,554.039978,554.039978,520.900024,525.349976,525.349976,359514700
2009-01-15,526.830017,528.190002,511.670013,516.969971,516.969971,364344900
2009-01-16,526.729980,534.549988,519.659973,520.640015,520.640015,331051200
2009-01-19,528.010010,532.020020,510.790009,517.250000,517.250000,262680200
2009-01-20,519.830017,523.140015,505.230011,507.420013,507.420013,304595800
2009-01-21,501.500000,509.540009,494.290009,503.250000,503.250000,450040500
2009-01-22,511.619995,515.919983,497.720001,498.920013,498.920013,331475900
2009-01-23,496.769989,500.109985,484.890015,497.709991,497.709991,328528500
2009-01-26,498.100006,518.280029,496.609985,516.349976,516.349976,378980100
2009-01-27,517.270020,517.799988,508.359985,516.030029,516.030029,332853700
2009-01-28,523.340027,535.219971,522.890015,533.880005,533.880005,383650900
2009-01-29,530.369995,531.130005,519.869995,523.940002,523.940002,300699100
2009-01-30,519.390015,526.729980,514.820007,518.789978,518.789978,331578700
2009-02-02,511.730011,512.570007,502.290009,510.589996,510.589996,293406400
2009-02-03,514.630005,519.750000,506.209991,519.030029,519.030029,279379900
2009-02-04,521.940002,535.219971,519.270020,530.969971,530.969971,335304300
2009-02-05,519.599976,530.179993,517.070007,529.690002,529.690002,287932400
2009-02-06,533.539978,542.859985,529.760010,540.369995,540.369995,333454700
2009-02-09,537.650024,543.840027,535.590027,542.270020,542.270020,242310100
2009-02-10,536.479980,540.130005,524.359985,524.359985,524.359985,257391900
2009-02-11,520.900024,526.000000,519.059998,525.369995,525.369995,255751900
2009-02-12,521.880005,521.880005,508.910004,514.260010,514.260010,272043000
2009-02-13,520.809998,526.440002,516.450012,518.260010,518.260010,222438100
2009-02-16,514.150024,516.710022,511.660004,511.890015,511.890015,154762500
2009-02-17,507.179993,507.500000,495.500000,498.220001,498.220001,291353900
2009-02-18,500.739990,501.130005,489.109985,496.480011,496.480011,305404400
2009-02-19,499.750000,503.920013,496.429993,498.149994,498.149994,283185600
2009-02-20,490.609985,491.010010,479.440002,479.519989,479.519989,376051200
2009-02-23,486.859985,487.839996,473.059998,474.769989,474.769989,293772600
2009-02-24,472.119995,473.589996,464.640015,470.299988,470.299988,361392000
2009-02-25,478.459991,478.850006,462.489990,467.730011,467.730011,320421800
2009-02-26,473.619995,477.630005,466.619995,474.220001,474.220001,356808400
2009-02-27,468.149994,469.649994,458.779999,469.649994,469.649994,370022700
2009-03-02,457.809998,458.869995,447.829987,447.929993,447.929993,366443600
2009-03-03,449.829987,453.109985,439.750000,439.820007,439.820007,372175100
2009-03-04,446.049988,457.170013,443.239990,457.170013,457.170013,392481800
2009-03-05,452.989990,454.959991,441.720001,441.720001,441.720001,405309500
2009-03-06,441.589996,446.230011,434.730011,436.239990,436.239990,395865400
2009-03-09,436.519989,436.519989,426.619995,434.609985,434.609985,345889800
2009-03-10,434.619995,458.220001,433.170013,456.899994,456.899994,393577500
